"지표별(1)",지표별(2),서울 서대문구
"지표별(1)",지표별(2),2021
"인구",주민등록인구 (명),304819
"인구",순이동인구 (명),-4577
"인구",전입인구 (명),42484
"인구",전출인구 (명),47061
"인구",사망자수 (명),1728
"인구",인구총조사 인구,314547
"인구",평균연령,43
"인구",출생아수 (명),1426
"인구",인구총조사 인구,314547
"인구",합계출산율,0.635
"인구",등록외국인 현황 (명),10840
"가족",이혼건수 (건),429
"가족",신혼부부수 (쌍),6093
"가족",혼인건수 (건),1042
"가족",조혼인율,3.4
"가족",조이혼율,1.4
"건강",스트레스 인지율 (%),28.2
"건강",주관적 건강수준인지율 (%),52.0
"건강",흡연율 (%),17.5
"건강",음주율 (%),48.1
"건강",연간음주자의 고위험음주율 (%),11.8
"건강",미충족의료율 (%),4.9
"건강",인플루엔자 예방접종률 (%),45.5
"건강",건강생활실천율 (%),38.3
"교육",학급당 학생수 (명),22.39
"교육",초등학교 교원수 (명),900
"교육",초등학교 학생수 (명),12940
"교육",초등학교수 (개),19
"교육",유치원 교원수 (명),200
"교육",유치원 원아수 (명),2257
"교육",유치원수 (개),23
"주거와 교통",도시지역면적 (m²),17685845
"주거와 교통",주택수 (호),102024
"주거와 교통",토지거래면적 (천㎡),496
"성장과 안정",종사자수 (명),118256
"성장과 안정",가구수 (가구),140409
"성장과 안정",서비스업사업체수 (개),21135
"성장과 안정",도소매업종사자수 (명),16293
"성장과 안정",도소매업사업체수 (개),6936
"성장과 안정",운수업종사자수 (명),5616
"성장과 안정",운수업사업체수 (개),3414
"성장과 안정",제조업종사자수 (명),2815
"성장과 안정",제조업사업체수 (개),1074
"성장과 안정",사업체수 (개),28522
"안전",화재발생건수 (건),262
"환경",하수도보급률 (%),100.0
"사회통합",인구십만명당 자살률 (십만명당),26.1
"사회통합",등록장애인수 (명),12311
