"지표별(1)",지표별(2),서울 관악구
"지표별(1)",지표별(2),2021
"인구",주민등록인구 (명),485699
"인구",순이동인구 (명),-5955
"인구",전입인구 (명),89756
"인구",전출인구 (명),95711
"인구",사망자수 (명),2481
"인구",인구총조사 인구,495777
"인구",평균연령,43
"인구",출생아수 (명),1707
"인구",인구총조사 인구,495777
"인구",합계출산율,0.437
"인구",등록외국인 현황 (명),13750
"가족",이혼건수 (건),741
"가족",신혼부부수 (쌍),8699
"가족",혼인건수 (건),2110
"가족",조혼인율,4.4
"가족",조이혼율,1.5
"건강",스트레스 인지율 (%),23.8
"건강",주관적 건강수준인지율 (%),52.3
"건강",흡연율 (%),17.6
"건강",음주율 (%),56.0
"건강",연간음주자의 고위험음주율 (%),15.2
"건강",미충족의료율 (%),2.8
"건강",인플루엔자 예방접종률 (%),46.6
"건강",건강생활실천율 (%),43.1
"교육",학급당 학생수 (명),20.93
"교육",초등학교 교원수 (명),1044
"교육",초등학교 학생수 (명),13550
"교육",초등학교수 (개),22
"교육",유치원 교원수 (명),263
"교육",유치원 원아수 (명),2682
"교육",유치원수 (개),32
"주거와 교통",도시지역면적 (m²),29563482
"주거와 교통",주택수 (호),127783
"주거와 교통",토지거래면적 (천㎡),1228
"성장과 안정",종사자수 (명),128417
"성장과 안정",친환경인증 농산물 출하량 (톤),9
"성장과 안정",친환경인증 축산물 출하량 (톤),1087
"성장과 안정",가구수 (가구),263380
"성장과 안정",서비스업사업체수 (개),27939
"성장과 안정",도소매업종사자수 (명),17796
"성장과 안정",도소매업사업체수 (개),8953
"성장과 안정",운수업종사자수 (명),6446
"성장과 안정",운수업사업체수 (개),4490
"성장과 안정",제조업종사자수 (명),4949
"성장과 안정",제조업사업체수 (개),1901
"성장과 안정",사업체수 (개),37915
"안전",화재발생건수 (건),259
"환경",하수도보급률 (%),100.0
"사회통합",인구십만명당 자살률 (십만명당),30.2
"사회통합",등록장애인수 (명),20211
