"지표별(1)",지표별(2),서울 동대문구
"지표별(1)",지표별(2),2021
"인구",주민등록인구 (명),337400
"인구",순이동인구 (명),-2076
"인구",전입인구 (명),48955
"인구",전출인구 (명),51031
"인구",사망자수 (명),2061
"인구",인구총조사 인구,348201
"인구",평균연령,43
"인구",출생아수 (명),1585
"인구",인구총조사 인구,348201
"인구",합계출산율,0.660
"인구",등록외국인 현황 (명),14606
"가족",이혼건수 (건),555
"가족",신혼부부수 (쌍),6852
"가족",혼인건수 (건),1228
"가족",조혼인율,3.7
"가족",조이혼율,1.7
"건강",스트레스 인지율 (%),23.1
"건강",주관적 건강수준인지율 (%),43.6
"건강",흡연율 (%),17.5
"건강",음주율 (%),56.3
"건강",연간음주자의 고위험음주율 (%),12.4
"건강",미충족의료율 (%),2.6
"건강",인플루엔자 예방접종률 (%),48.5
"건강",건강생활실천율 (%),44.5
"교육",학급당 학생수 (명),22.00
"교육",초등학교 교원수 (명),911
"교육",초등학교 학생수 (명),12792
"교육",초등학교수 (개),21
"교육",유치원 교원수 (명),236
"교육",유치원 원아수 (명),2596
"교육",유치원수 (개),28
"주거와 교통",도시지역면적 (m²),14251236
"주거와 교통",주택수 (호),104287
"주거와 교통",토지거래면적 (천㎡),443
"성장과 안정",종사자수 (명),146383
"성장과 안정",가구수 (가구),162315
"성장과 안정",서비스업사업체수 (개),30347
"성장과 안정",도소매업종사자수 (명),33547
"성장과 안정",도소매업사업체수 (개),14774
"성장과 안정",운수업종사자수 (명),6435
"성장과 안정",운수업사업체수 (개),3956
"성장과 안정",제조업종사자수 (명),12870
"성장과 안정",제조업사업체수 (개),3922
"성장과 안정",사업체수 (개),42813
"안전",화재발생건수 (건),155
"환경",하수도보급률 (%),100.0
"사회통합",인구십만명당 자살률 (십만명당),26.6
"사회통합",등록장애인수 (명),15518
