자치구,주민등록인구 (명),순이동인구 (명),전입인구 (명),전출인구 (명),사망자수 (명),인구총조사 인구,평균연령,출생아수 (명),합계출산율,등록외국인 현황 (명),이혼건수 (건),신혼부부수 (쌍),혼인건수 (건),조혼인율,조이혼율,스트레스 인지율 (%),주관적 건강수준인지율 (%),흡연율 (%),음주율 (%),연간음주자의 고위험음주율 (%),미충족의료율 (%),인플루엔자 예방접종률 (%),건강생활실천율 (%),학급당 학생수 (명),초등학교 교원수 (명),초등학교 학생수 (명),초등학교수 (개),유치원 교원수 (명),유치원 원아수 (명),유치원수 (개),도시지역면적 (m²),주택수 (호),토지거래면적 (천㎡),종사자수 (명),가구수 (가구),서비스업사업체수 (개),도소매업종사자수 (명),도소매업사업체수 (개),운수업종사자수 (명),운수업사업체수 (개),제조업종사자수 (명),제조업사업체수 (개),사업체수 (개),화재발생건수 (건),하수도보급률 (%),인구십만명당 자살률 (십만명당),등록장애인수 (명)
강남구,533042.0,-4024.0,94082.0,98106.0,1920.0,503019.0,42.0,2204.0,0.523,4758.0,737.0,8360.0,1680.0,3.2,1.4,31.9,58.3,12.3,56.0,7.7,5.2,46.7,41.6,25.9,1624.0,25829.0,33.0,299.0,2938.0,36.0,39497268.0,175536.0,1614.0,801419.0,214939.0,94001.0,157568.0,26299.0,12036.0,3708.0,19410.0,3027.0,110007.0,391.0,100.0,23.2,15182.0
강동구,462664.0,3439.0,77883.0,74444.0,2122.0,451099.0,43.0,2810.0,0.797,3808.0,729.0,11920.0,1892.0,4.1,1.6,23.2,55.4,14.5,51.1,8.6,4.3,51.4,47.6,22.59,1527.0,22092.0,29.0,322.0,4205.0,36.0,24556203.0,146249.0,1416.0,157465.0,188073.0,30405.0,28849.0,11576.0,9175.0,5442.0,4899.0,1911.0,41660.0,211.0,100.0,20.0,18614.0
강북구,299182.0,-5904.0,37057.0,42961.0,2036.0,292611.0,47.0,994.0,0.541,3381.0,627.0,4858.0,891.0,3.0,2.1,29.0,48.1,18.1,58.7,18.5,3.6,47.8,40.0,22.34,689.0,9412.0,14.0,129.0,1199.0,20.0,23636019.0,97840.0,465.0,80222.0,132458.0,18673.0,12912.0,6807.0,6203.0,3102.0,5979.0,2067.0,26385.0,146.0,100.0,25.1,17395.0
강서구,574315.0,-4099.0,87269.0,91368.0,2884.0,559837.0,43.0,3006.0,0.617,5453.0,973.0,13974.0,2669.0,4.7,1.7,30.4,55.5,16.0,51.7,12.7,3.2,45.4,47.2,22.07,1711.0,24896.0,35.0,418.0,4786.0,52.0,41463273.0,199556.0,1661.0,290473.0,253018.0,42794.0,46136.0,15831.0,50603.0,9188.0,8338.0,1965.0,58806.0,223.0,100.0,26.6,28546.0
관악구,485699.0,-5955.0,89756.0,95711.0,2481.0,495777.0,43.0,1707.0,0.437,13750.0,741.0,8699.0,2110.0,4.4,1.5,23.8,52.3,17.6,56.0,15.2,2.8,46.6,43.1,20.93,1044.0,13550.0,22.0,263.0,2682.0,32.0,29563482.0,127783.0,1228.0,128417.0,263380.0,27939.0,17796.0,8953.0,6446.0,4490.0,4949.0,1901.0,37915.0,259.0,100.0,30.2,20211.0
광진구,339996.0,-5228.0,51522.0,56750.0,1516.0,347099.0,43.0,1484.0,0.525,12631.0,523.0,6720.0,1399.0,4.1,1.5,27.1,54.1,16.1,59.2,14.1,6.5,46.8,42.0,23.44,961.0,13742.0,22.0,207.0,2237.0,31.0,17075115.0,91432.0,338.0,129707.0,162785.0,26057.0,21953.0,9273.0,5261.0,2778.0,6514.0,2239.0,33706.0,205.0,100.0,20.4,12253.0
구로구,396754.0,-6710.0,48170.0,54880.0,2137.0,426220.0,45.0,2229.0,0.737,24409.0,658.0,9914.0,1671.0,4.2,1.7,24.0,49.4,13.5,50.2,11.2,3.6,40.2,49.4,21.74,1300.0,17290.0,26.0,243.0,2693.0,31.0,20136328.0,134367.0,680.0,240689.0,184821.0,38413.0,44216.0,17126.0,10873.0,5498.0,17762.0,4550.0,52791.0,173.0,100.0,21.7,18374.0
금천구,230811.0,616.0,35663.0,35047.0,1325.0,247398.0,45.0,1012.0,0.612,14080.0,460.0,5140.0,1061.0,4.6,2.0,31.8,40.3,16.9,54.3,18.8,7.1,47.6,36.2,20.04,672.0,8050.0,18.0,135.0,1423.0,18.0,13012685.0,71117.0,532.0,255449.0,118852.0,34262.0,42706.0,13385.0,8286.0,3218.0,39114.0,6698.0,47964.0,118.0,100.0,26.3,11458.0
노원구,510956.0,-9737.0,58736.0,68473.0,3007.0,503929.0,44.0,2225.0,0.701,3990.0,782.0,9749.0,1765.0,3.4,1.5,24.0,59.9,14.6,52.9,8.5,2.6,49.2,51.2,21.96,1716.0,24692.0,42.0,488.0,5466.0,57.0,35546825.0,190352.0,1139.0,133398.0,205936.0,26763.0,19515.0,9866.0,11619.0,6415.0,3964.0,1280.0,37909.0,173.0,100.0,23.8,26904.0
도봉구,317366.0,-5787.0,36895.0,42682.0,2004.0,309200.0,46.0,1136.0,0.579,2007.0,611.0,5424.0,963.0,3.0,1.9,31.8,46.7,17.5,55.8,13.1,9.4,50.6,38.4,21.27,979.0,13952.0,23.0,215.0,2115.0,26.0,20839966.0,107959.0,520.0,79097.0,129498.0,16721.0,12589.0,6178.0,8752.0,5058.0,3842.0,1350.0,25391.0,140.0,100.0,23.9,15300.0
동대문구,337400.0,-2076.0,48955.0,51031.0,2061.0,348201.0,43.0,1585.0,0.66,14606.0,555.0,6852.0,1228.0,3.7,1.7,23.1,43.6,17.5,56.3,12.4,2.6,48.5,44.5,22.0,911.0,12792.0,21.0,236.0,2596.0,28.0,14251236.0,104287.0,443.0,146383.0,162315.0,30347.0,33547.0,14774.0,6435.0,3956.0,12870.0,3922.0,42813.0,155.0,100.0,26.6,15518.0
동작구,385483.0,-4054.0,64257.0,68311.0,1890.0,388094.0,43.0,1831.0,0.602,8881.0,493.0,7960.0,1568.0,4.1,1.3,26.7,54.8,13.4,50.0,10.2,3.3,48.8,41.0,22.85,1053.0,15174.0,21.0,239.0,2661.0,31.0,16387882.0,119534.0,561.0,109281.0,176665.0,22060.0,15553.0,7490.0,3343.0,2250.0,2088.0,931.0,27915.0,129.0,100.0,19.6,14417.0
마포구,368905.0,-581.0,61543.0,62124.0,1735.0,365192.0,42.0,1959.0,0.587,9781.0,527.0,8411.0,1578.0,4.3,1.4,28.7,59.2,14.2,54.9,12.2,1.7,52.3,44.7,22.89,1020.0,13888.0,22.0,245.0,2711.0,26.0,23883966.0,126005.0,536.0,279788.0,169539.0,45896.0,41204.0,12958.0,11930.0,3963.0,5646.0,1998.0,56782.0,242.0,100.0,22.2,12945.0
서대문구,304819.0,-4577.0,42484.0,47061.0,1728.0,314547.0,43.0,1426.0,0.635,10840.0,429.0,6093.0,1042.0,3.4,1.4,28.2,52.0,17.5,48.1,11.8,4.9,45.5,38.3,22.39,900.0,12940.0,19.0,200.0,2257.0,23.0,17685845.0,102024.0,496.0,118256.0,140409.0,21135.0,16293.0,6936.0,5616.0,3414.0,2815.0,1074.0,28522.0,262.0,100.0,26.1,12311.0
서초구,412279.0,-11713.0,70064.0,81777.0,1541.0,392302.0,42.0,2163.0,0.666,3888.0,508.0,7835.0,1469.0,3.6,1.2,27.7,58.8,13.7,54.6,9.9,4.0,48.9,45.4,25.34,1330.0,22345.0,24.0,224.0,2321.0,26.0,46899887.0,135171.0,3693.0,487976.0,158408.0,58307.0,72744.0,18027.0,12744.0,4352.0,6964.0,1678.0,71958.0,231.0,100.0,18.5,10291.0
성동구,285990.0,-6244.0,39831.0,46075.0,1420.0,286469.0,43.0,1833.0,0.764,6682.0,454.0,7595.0,1272.0,4.5,1.6,30.5,52.6,15.2,54.9,9.3,3.5,49.7,40.8,19.86,897.0,10555.0,21.0,169.0,1978.0,29.0,16804270.0,91033.0,354.0,203221.0,127440.0,29938.0,41485.0,11731.0,9462.0,2994.0,25990.0,5397.0,41665.0,191.0,100.0,21.7,11284.0
성북구,430528.0,-3340.0,59054.0,62394.0,2320.0,435509.0,43.0,1939.0,0.656,9614.0,647.0,8498.0,1471.0,3.4,1.5,30.8,46.3,17.2,54.3,11.5,5.8,43.3,45.7,22.49,1354.0,19628.0,29.0,395.0,4208.0,46.0,24621422.0,140138.0,544.0,124004.0,187246.0,25033.0,18873.0,9143.0,6135.0,3691.0,8743.0,3138.0,34712.0,168.0,100.0,24.5,17382.0
송파구,658338.0,-8470.0,105181.0,113651.0,2579.0,634720.0,42.0,3469.0,0.623,5627.0,923.0,14829.0,2574.0,3.9,1.4,29.0,52.5,15.3,60.7,14.0,6.3,50.2,43.9,23.08,2161.0,31235.0,40.0,455.0,5073.0,49.0,33857302.0,215731.0,1355.0,400781.0,263270.0,57034.0,82988.0,22908.0,17149.0,7834.0,10045.0,2447.0,74531.0,263.0,100.0,17.4,20356.0
양천구,447302.0,-5490.0,54952.0,60442.0,2027.0,433373.0,43.0,1827.0,0.645,3185.0,683.0,7711.0,1359.0,3.0,1.5,29.6,52.0,18.7,57.1,15.5,4.9,45.8,42.3,24.1,1503.0,23469.0,30.0,351.0,3769.0,39.0,17469613.0,145843.0,379.0,133776.0,170289.0,26385.0,20765.0,9281.0,13193.0,6507.0,4648.0,1583.0,37929.0,151.0,100.0,17.2,17525.0
영등포구,376837.0,-543.0,60565.0,61108.0,1958.0,402984.0,44.0,2402.0,0.713,24071.0,540.0,10587.0,2079.0,5.6,1.4,29.3,47.2,12.2,55.7,11.3,4.6,49.2,42.3,21.69,1042.0,13776.0,23.0,301.0,3356.0,37.0,24354830.0,110396.0,587.0,435017.0,184045.0,45731.0,59798.0,16947.0,12445.0,5793.0,13520.0,4790.0,74562.0,208.0,100.0,20.1,14495.0
용산구,222953.0,-3561.0,36011.0,39572.0,1265.0,221688.0,43.0,1234.0,0.664,14332.0,352.0,5353.0,995.0,4.6,1.6,26.5,54.6,17.6,56.3,15.1,3.0,46.8,40.5,20.18,585.0,6656.0,15.0,119.0,1351.0,13.0,21870000.0,75739.0,570.0,152605.0,102638.0,24414.0,37238.0,10038.0,4533.0,1739.0,3508.0,1371.0,29680.0,176.0,100.0,26.6,7686.0
은평구,473307.0,-3682.0,63269.0,66951.0,2735.0,457385.0,45.0,2076.0,0.604,3866.0,807.0,9977.0,1590.0,3.4,1.7,27.1,60.6,15.9,55.4,12.6,6.9,49.8,39.0,22.35,1368.0,19730.0,30.0,289.0,3196.0,39.0,29788522.0,156710.0,881.0,109031.0,195512.0,26734.0,18887.0,9596.0,8489.0,5095.0,3502.0,1510.0,36509.0,160.0,100.0,20.9,21756.0
종로구,144683.0,-2224.0,22204.0,24428.0,982.0,148857.0,44.0,528.0,0.531,9106.0,204.0,2240.0,478.0,3.3,1.4,30.3,51.4,17.2,54.1,13.1,4.5,40.3,35.4,21.05,448.0,5072.0,13.0,96.0,1077.0,16.0,23972507.0,46885.0,573.0,275063.0,68541.0,38167.0,46245.0,18683.0,8513.0,1699.0,12737.0,5318.0,48361.0,192.0,100.0,23.1,5929.0
중구,122499.0,-1209.0,19917.0,21126.0,806.0,126310.0,45.0,627.0,0.634,9288.0,233.0,2877.0,590.0,4.9,1.9,26.8,59.7,17.1,52.2,7.5,3.2,50.9,43.7,20.23,382.0,4808.0,12.0,94.0,1002.0,14.0,9974292.0,42319.0,292.0,386564.0,61073.0,52875.0,80600.0,32947.0,14337.0,2325.0,25587.0,10469.0,70308.0,171.0,100.0,21.6,5634.0
중랑구,387350.0,-5090.0,52867.0,57957.0,2319.0,380307.0,45.0,1825.0,0.65,4535.0,771.0,8908.0,1618.0,4.2,2.0,29.9,47.2,19.7,55.8,14.8,2.9,52.8,44.9,20.69,1042.0,13862.0,23.0,259.0,2658.0,32.0,18531526.0,114488.0,494.0,113144.0,170021.0,23597.0,18663.0,9064.0,10899.0,5830.0,14055.0,4256.0,39310.0,213.0,100.0,22.2,20357.0
